iShares MSCI EAFE ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Aug 14, 2001"
Shares Outstanding,"928,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"CPG","COMPASS GROUP PLC","Equity","0.27","25.15","6,856,914.00","172,469,386.50","172,469,386.50","Consumer Discretionary","BD6K457","GB00BD6K4575","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Equity","0.27","76.23","2,252,761.00","171,735,869.63","171,735,869.63","Consumer Discretionary","BCRWZ18","CH0210483332","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"6501","HITACHI LTD","Equity","0.26","40.11","4,178,400.00","167,610,731.17","167,610,731.17","Information Technology","6429104","JP3788600009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"BARC","BARCLAYS PLC","Equity","0.26","2.23","74,556,950.00","166,497,869.85","166,497,869.85","Financials","3134865","GB0031348658","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"4568","DAIICHI SANKYO LTD","Equity","0.26","67.96","2,449,195.00","166,443,827.33","166,443,827.33","Health Care","B0J7D91","JP3475350009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"9437","NTT DOCOMO INC","Equity","0.26","28.52","5,758,017.00","164,235,907.28","164,235,907.28","Communication","6129277","JP3165650007","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"ISP","INTESA SANPAOLO","Equity","0.26","2.54","64,330,378.00","163,152,470.81","163,152,470.81","Financials","4076836","IT0000072618","Borsa Italiana","Italy","USD","EUR","0.91"
"7741","HOYA CORP","Equity","0.26","98.73","1,648,700.00","162,770,226.31","162,770,226.31","Health Care","6441506","JP3837800006","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"ENI","ENI","Equity","0.25","14.74","10,995,700.00","162,059,793.48","162,059,793.48","Energy","7145056","IT0003132476","Borsa Italiana","Italy","USD","EUR","0.91"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.25","34.02","4,707,223.00","160,161,127.85","160,161,127.85","Consumer Discretionary","BP9DL90","ES0148396007","Bolsa De Madrid","Spain","USD","EUR","0.91"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.25","132.68","1,203,020.00","159,616,693.60","159,616,693.60","Information Technology","B505PN7","NL0009538784","NASDAQ","Netherlands","USD","USD","1.00"
"RI","PERNOD RICARD SA","Equity","0.25","173.81","917,791.00","159,519,326.35","159,519,326.35","Consumer Staples","4682329","FR0000120693","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"8411","MIZUHO FINANCIAL GROUP INC","Equity","0.24","1.49","104,262,060.00","154,950,578.45","154,950,578.45","Financials","6591014","JP3885780001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"PRX","PROSUS NV","Equity","0.24","73.35","2,104,752.00","154,386,366.94","154,386,366.94","Consumer Discretionary","BJDS7L3","NL0013654783","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"8766","TOKIO MARINE HOLDINGS INC","Equity","0.24","54.83","2,783,300.00","152,604,610.59","152,604,610.59","Financials","6513126","JP3910660004","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6367","DAIKIN INDUSTRIES LTD","Equity","0.24","141.42","1,076,900.00","152,299,354.04","152,299,354.04","Industrials","6250724","JP3481800005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Equity","0.24","189.71","802,746.00","152,292,654.75","152,292,654.75","Consumer Discretionary","5497168","DE0007664039","Xetra","Germany","USD","EUR","0.91"
"DPW","DEUTSCHE POST AG","Equity","0.24","35.54","4,274,725.00","151,911,394.99","151,911,394.99","Industrials","4617859","DE0005552004","Xetra","Germany","USD","EUR","0.91"
"6954","FANUC CORP","Equity","0.24","181.24","837,800.00","151,838,775.88","151,838,775.88","Industrials","6356934","JP3802400006","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"AMS","AMADEUS IT GROUP SA","Equity","0.24","81.34","1,864,084.00","151,620,299.57","151,620,299.57","Information Technology","B3MSM28","ES0109067019","Bolsa De Madrid","Spain","USD","EUR","0.91"
"8058","MITSUBISHI CORP","Equity","0.24","25.90","5,836,700.00","151,185,183.25","151,185,183.25","Industrials","6596785","JP3898400001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"WOW","WOOLWORTHS GROUP LTD","Equity","0.24","27.79","5,434,468.00","151,005,048.87","151,005,048.87","Consumer Staples","6981239","AU000000WOW2","Asx - All Markets","Australia","USD","AUD","1.48"
"8035","TOKYO ELECTRON LTD","Equity","0.24","222.37","678,400.00","150,859,153.38","150,859,153.38","Information Technology","6895675","JP3571400005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6981","MURATA MANUFACTURING LTD","Equity","0.23","60.21","2,482,900.00","149,488,142.75","149,488,142.75","Information Technology","6610403","JP3914400001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"D05","DBS GROUP HOLDINGS LTD","Equity","0.23","19.02","7,733,500.00","147,090,703.41","147,090,703.41","Financials","6175203","SG1L01001701","Singapore Exchange","Singapore","USD","SGD","1.36"
"WES","WESFARMERS LTD","Equity","0.23","29.93","4,899,512.00","146,628,087.58","146,628,087.58","Consumer Discretionary","6948836","AU000000WES1","Asx - All Markets","Australia","USD","AUD","1.48"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Equity","0.23","5.06","28,817,353.00","145,838,284.44","145,838,284.44","Financials","5501906","ES0113211835","Bolsa De Madrid","Spain","USD","EUR","0.91"
"SREN","SWISS RE AG","Equity","0.23","113.47","1,271,635.00","144,288,820.15","144,288,820.15","Financials","B545MG5","CH0126881561","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.23","13.04","11,061,550.00","144,197,132.26","144,197,132.26","Financials","7171589","CH0012138530","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Equity","0.22","25.55","5,554,200.00","141,882,990.65","141,882,990.65","Communication","6641373","JP3735400008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"4503","ASTELLAS PHARMA INC","Equity","0.22","17.31","8,160,650.00","141,244,895.09","141,244,895.09","Health Care","6985383","JP3942400007","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"GLEN","GLENCORE PLC","Equity","0.22","2.95","47,209,668.00","139,490,557.11","139,490,557.11","Materials","B4T3BW6","JE00B4T3BW64","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TEF","TELEFONICA SA","Equity","0.22","6.90","20,172,875.00","139,116,451.90","139,116,451.90","Communication","5732524","ES0178430E18","Bolsa De Madrid","Spain","USD","EUR","0.91"
"EXPN","EXPERIAN PLC","Equity","0.22","35.12","3,938,042.00","138,289,503.67","138,289,503.67","Industrials","B19NLV4","GB00B19NLV48","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"8001","ITOCHU CORP","Equity","0.21","23.46","5,822,300.00","136,595,191.04","136,595,191.04","Industrials","6467803","JP3143600009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Equity","0.21","100.38","1,360,518.00","136,564,475.83","136,564,475.83","Financials","B0SWJX3","GB00B0SWJX34","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ENGI","ENGIE SA","Equity","0.21","17.30","7,894,576.00","136,562,635.47","136,562,635.47","Utilities","B0C2CQ3","FR0010208488","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"9983","FAST RETAILING LTD","Equity","0.21","537.75","251,600.00","135,297,819.31","135,297,819.31","Consumer Discretionary","6332439","JP3802300008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
